balPayments,expDlr,expWgt,hsCd,impDlr,impWgt,statCd,statCdCntnKor1,statKor,year,country,hs_input,error,hs_prefix
-79873.0,0.0,0.0,-,79873.0,5939.0,-,-,-,총계,US,310100,,-
-3300.0,0.0,0.0,3101002000,3300.0,170.0,US,미국,천연 비료,2024.06,US,310100,,310100
-1679.0,0.0,0.0,3101002000,1679.0,78.0,US,미국,천연 비료,2024.07,US,310100,,310100
-6494.0,0.0,0.0,3101002000,6494.0,477.0,US,미국,천연 비료,2024.08,US,310100,,310100
-1467.0,0.0,0.0,3101002000,1467.0,90.0,US,미국,천연 비료,2024.09,US,310100,,310100
-9895.0,0.0,0.0,3101002000,9895.0,511.0,US,미국,천연 비료,2024.10,US,310100,,310100
-8900.0,0.0,0.0,3101003000,8900.0,1000.0,US,미국,천연 비료,2024.10,US,310100,,310100
-1281.0,0.0,0.0,3101002000,1281.0,67.0,US,미국,천연 비료,2024.11,US,310100,,310100
-1430.0,0.0,0.0,3101002000,1430.0,117.0,US,미국,천연 비료,2024.12,US,310100,,310100
-3376.0,0.0,0.0,3101002000,3376.0,184.0,US,미국,천연 비료,2025.01,US,310100,,310100
-1872.0,0.0,0.0,3101002000,1872.0,71.0,US,미국,천연 비료,2025.02,US,310100,,310100
-2461.0,0.0,0.0,3101002000,2461.0,148.0,US,미국,천연 비료,2025.03,US,310100,,310100
-235.0,0.0,0.0,3101003000,235.0,3.0,US,미국,천연 비료,2025.03,US,310100,,310100
-2402.0,0.0,0.0,3101002000,2402.0,81.0,US,미국,천연 비료,2025.04,US,310100,,310100
-12418.0,0.0,0.0,3101003000,12418.0,454.0,US,미국,천연 비료,2025.04,US,310100,,310100
-3818.0,0.0,0.0,3101002000,3818.0,417.0,US,미국,천연 비료,2025.05,US,310100,,310100
-18845.0,0.0,0.0,3101003000,18845.0,2071.0,US,미국,천연 비료,2025.05,US,310100,,310100
-24133232.0,2949693.0,709305.0,-,27082925.0,4491444.0,-,-,-,총계,US,340290,,-
-331998.0,143233.0,44710.0,3402901000,475231.0,45664.0,US,미국,천연 성분 세제,2024.06,US,340290,,340290
-122552.0,3524.0,1529.0,3402902000,126076.0,15112.0,US,미국,천연 성분 세제,2024.06,US,340290,,340290
-1100706.0,282530.0,38662.0,3402903000,1383236.0,203123.0,US,미국,천연 성분 세제,2024.06,US,340290,,340290
-875909.0,149760.0,38437.0,3402901000,1025669.0,96822.0,US,미국,천연 성분 세제,2024.07,US,340290,,340290
-45051.0,4199.0,282.0,3402902000,49250.0,4492.0,US,미국,천연 성분 세제,2024.07,US,340290,,340290
-741037.0,165455.0,44564.0,3402903000,906492.0,118173.0,US,미국,천연 성분 세제,2024.07,US,340290,,340290
-686675.0,169533.0,49295.0,3402901000,856208.0,158301.0,US,미국,천연 성분 세제,2024.08,US,340290,,340290
-96059.0,8414.0,1401.0,3402902000,104473.0,12987.0,US,미국,천연 성분 세제,2024.08,US,340290,,340290
-1414157.0,88784.0,8848.0,3402903000,1502941.0,190006.0,US,미국,천연 성분 세제,2024.08,US,340290,,340290
-663550.0,223538.0,54792.0,3402901000,887088.0,98837.0,US,미국,천연 성분 세제,2024.09,US,340290,,340290
-70664.0,6088.0,1549.0,3402902000,76752.0,6857.0,US,미국,천연 성분 세제,2024.09,US,340290,,340290
-1416766.0,88310.0,18425.0,3402903000,1505076.0,285945.0,US,미국,천연 성분 세제,2024.09,US,340290,,340290
-954016.0,42358.0,15800.0,3402901000,996374.0,129870.0,US,미국,천연 성분 세제,2024.10,US,340290,,340290
-202306.0,1080.0,300.0,3402902000,203386.0,33547.0,US,미국,천연 성분 세제,2024.10,US,340290,,340290
-1344608.0,45396.0,5357.0,3402903000,1390004.0,182015.0,US,미국,천연 성분 세제,2024.10,US,340290,,340290
-515605.0,111276.0,45480.0,3402901000,626881.0,91647.0,US,미국,천연 성분 세제,2024.11,US,340290,,340290
-46960.0,15569.0,1003.0,3402902000,62529.0,4356.0,US,미국,천연 성분 세제,2024.11,US,340290,,340290
-1149351.0,4248.0,1104.0,3402903000,1153599.0,139402.0,US,미국,천연 성분 세제,2024.11,US,340290,,340290
-676694.0,14590.0,6084.0,3402901000,691284.0,47263.0,US,미국,천연 성분 세제,2024.12,US,340290,,340290
-37952.0,13622.0,10262.0,3402902000,51574.0,3647.0,US,미국,천연 성분 세제,2024.12,US,340290,,340290
-658788.0,25719.0,4611.0,3402903000,684507.0,118908.0,US,미국,천연 성분 세제,2024.12,US,340290,,340290
-606539.0,111850.0,33185.0,3402901000,718389.0,103104.0,US,미국,천연 성분 세제,2025.01,US,340290,,340290
-90252.0,2832.0,869.0,3402902000,93084.0,6237.0,US,미국,천연 성분 세제,2025.01,US,340290,,340290
-797165.0,31242.0,2730.0,3402903000,828407.0,158484.0,US,미국,천연 성분 세제,2025.01,US,340290,,340290
-464699.0,199644.0,25603.0,3402901000,664343.0,120789.0,US,미국,천연 성분 세제,2025.02,US,340290,,340290
-74979.0,4216.0,337.0,3402902000,79195.0,5464.0,US,미국,천연 성분 세제,2025.02,US,340290,,340290
-852253.0,139881.0,24809.0,3402903000,992134.0,120839.0,US,미국,천연 성분 세제,2025.02,US,340290,,340290
-1921349.0,81204.0,27370.0,3402901000,2002553.0,580342.0,US,미국,천연 성분 세제,2025.03,US,340290,,340290
-49574.0,14920.0,2535.0,3402902000,64494.0,5680.0,US,미국,천연 성분 세제,2025.03,US,340290,,340290
-798999.0,70205.0,20027.0,3402903000,869204.0,179308.0,US,미국,천연 성분 세제,2025.03,US,340290,,340290
-1580019.0,215324.0,55178.0,3402901000,1795343.0,469745.0,US,미국,천연 성분 세제,2025.04,US,340290,,340290
-60417.0,10677.0,737.0,3402902000,71094.0,16603.0,US,미국,천연 성분 세제,2025.04,US,340290,,340290
-1043795.0,123840.0,18610.0,3402903000,1167635.0,167408.0,US,미국,천연 성분 세제,2025.04,US,340290,,340290
-1319888.0,234585.0,72682.0,3402901000,1554473.0,353916.0,US,미국,천연 성분 세제,2025.05,US,340290,,340290
-35731.0,8129.0,335.0,3402902000,43860.0,4924.0,US,미국,천연 성분 세제,2025.05,US,340290,,340290
-1286169.0,93918.0,31800.0,3402903000,1380087.0,211630.0,US,미국,천연 성분 세제,2025.05,US,340290,,340290
20113272.0,22236298.0,1981341.0,-,2123026.0,200272.0,-,-,-,총계,US,392490,,-
